"","network","round","adopters","high_status","high_degree","tau_type"
"228",3,28,10000,TRUE,FALSE,"random_tau"
"229",3,29,10000,TRUE,FALSE,"random_tau"
"230",3,30,10000,TRUE,FALSE,"random_tau"
"231",3,31,10000,TRUE,FALSE,"random_tau"
"232",3,32,10000,TRUE,FALSE,"random_tau"
"233",3,33,10000,TRUE,FALSE,"random_tau"
"234",3,34,10000,TRUE,FALSE,"random_tau"
"235",3,35,10000,TRUE,FALSE,"random_tau"
"236",3,36,10000,TRUE,FALSE,"random_tau"
"237",3,37,10000,TRUE,FALSE,"random_tau"
"238",3,38,10000,TRUE,FALSE,"random_tau"
"239",3,39,10000,TRUE,FALSE,"random_tau"
"240",3,40,10000,TRUE,FALSE,"random_tau"
"241",3,41,10000,TRUE,FALSE,"random_tau"
"242",3,42,10000,TRUE,FALSE,"random_tau"
"243",3,43,10000,TRUE,FALSE,"random_tau"
"244",3,44,10000,TRUE,FALSE,"random_tau"
"245",3,45,10000,TRUE,FALSE,"random_tau"
"246",3,46,10000,TRUE,FALSE,"random_tau"
"247",3,47,10000,TRUE,FALSE,"random_tau"
"248",3,48,10000,TRUE,FALSE,"random_tau"
"249",3,49,10000,TRUE,FALSE,"random_tau"
"250",3,50,10000,TRUE,FALSE,"random_tau"
"251",3,51,10000,TRUE,FALSE,"random_tau"
"252",3,52,10000,TRUE,FALSE,"random_tau"
"253",3,53,10000,TRUE,FALSE,"random_tau"
"254",3,54,10000,TRUE,FALSE,"random_tau"
"255",3,55,10000,TRUE,FALSE,"random_tau"
"256",3,56,10000,TRUE,FALSE,"random_tau"
"257",3,57,10000,TRUE,FALSE,"random_tau"
"258",3,58,10000,TRUE,FALSE,"random_tau"
"259",3,59,10000,TRUE,FALSE,"random_tau"
"260",3,60,10000,TRUE,FALSE,"random_tau"
"261",3,61,10000,TRUE,FALSE,"random_tau"
"262",3,62,10000,TRUE,FALSE,"random_tau"
"263",3,63,10000,TRUE,FALSE,"random_tau"
"264",3,64,10000,TRUE,FALSE,"random_tau"
"265",3,65,10000,TRUE,FALSE,"random_tau"
"266",3,66,10000,TRUE,FALSE,"random_tau"
"267",3,67,10000,TRUE,FALSE,"random_tau"
"268",3,68,10000,TRUE,FALSE,"random_tau"
"269",3,69,10000,TRUE,FALSE,"random_tau"
"270",3,70,10000,TRUE,FALSE,"random_tau"
"271",3,71,10000,TRUE,FALSE,"random_tau"
"272",3,72,10000,TRUE,FALSE,"random_tau"
"273",3,73,10000,TRUE,FALSE,"random_tau"
"274",3,74,10000,TRUE,FALSE,"random_tau"
"275",3,75,10000,TRUE,FALSE,"random_tau"
"276",3,76,10000,TRUE,FALSE,"random_tau"
"277",3,77,10000,TRUE,FALSE,"random_tau"
"278",3,78,10000,TRUE,FALSE,"random_tau"
"279",3,79,10000,TRUE,FALSE,"random_tau"
"280",3,80,10000,TRUE,FALSE,"random_tau"
"281",3,81,10000,TRUE,FALSE,"random_tau"
"282",3,82,10000,TRUE,FALSE,"random_tau"
"283",3,83,10000,TRUE,FALSE,"random_tau"
"284",3,84,10000,TRUE,FALSE,"random_tau"
"285",3,85,10000,TRUE,FALSE,"random_tau"
"286",3,86,10000,TRUE,FALSE,"random_tau"
"287",3,87,10000,TRUE,FALSE,"random_tau"
"288",3,88,10000,TRUE,FALSE,"random_tau"
"289",3,89,10000,TRUE,FALSE,"random_tau"
"290",3,90,10000,TRUE,FALSE,"random_tau"
"291",3,91,10000,TRUE,FALSE,"random_tau"
"292",3,92,10000,TRUE,FALSE,"random_tau"
"293",3,93,10000,TRUE,FALSE,"random_tau"
"294",3,94,10000,TRUE,FALSE,"random_tau"
"295",3,95,10000,TRUE,FALSE,"random_tau"
"296",3,96,10000,TRUE,FALSE,"random_tau"
"297",3,97,10000,TRUE,FALSE,"random_tau"
"298",3,98,10000,TRUE,FALSE,"random_tau"
"299",3,99,10000,TRUE,FALSE,"random_tau"
"300",3,100,10000,TRUE,FALSE,"random_tau"
"301",4,1,1777,TRUE,FALSE,"random_tau"
"302",4,2,2954,TRUE,FALSE,"random_tau"
"303",4,3,4205,TRUE,FALSE,"random_tau"
"304",4,4,5633,TRUE,FALSE,"random_tau"
"305",4,5,7211,TRUE,FALSE,"random_tau"
"306",4,6,8651,TRUE,FALSE,"random_tau"
"307",4,7,9643,TRUE,FALSE,"random_tau"
"308",4,8,9958,TRUE,FALSE,"random_tau"
"309",4,9,10000,TRUE,FALSE,"random_tau"
"310",4,10,10000,TRUE,FALSE,"random_tau"
"311",4,11,10000,TRUE,FALSE,"random_tau"
"312",4,12,10000,TRUE,FALSE,"random_tau"
"313",4,13,10000,TRUE,FALSE,"random_tau"
"314",4,14,10000,TRUE,FALSE,"random_tau"
"315",4,15,10000,TRUE,FALSE,"random_tau"
"316",4,16,10000,TRUE,FALSE,"random_tau"
"317",4,17,10000,TRUE,FALSE,"random_tau"
"318",4,18,10000,TRUE,FALSE,"random_tau"
"319",4,19,10000,TRUE,FALSE,"random_tau"
"320",4,20,10000,TRUE,FALSE,"random_tau"
"321",4,21,10000,TRUE,FALSE,"random_tau"
"322",4,22,10000,TRUE,FALSE,"random_tau"
"323",4,23,10000,TRUE,FALSE,"random_tau"
"324",4,24,10000,TRUE,FALSE,"random_tau"
"325",4,25,10000,TRUE,FALSE,"random_tau"
"326",4,26,10000,TRUE,FALSE,"random_tau"
"327",4,27,10000,TRUE,FALSE,"random_tau"
"328",4,28,10000,TRUE,FALSE,"random_tau"
"329",4,29,10000,TRUE,FALSE,"random_tau"
