"","network","round","adopters","high_status","high_degree","tau_type"
"445",5,45,10000,FALSE,FALSE,"random_tau"
"446",5,46,10000,FALSE,FALSE,"random_tau"
"447",5,47,10000,FALSE,FALSE,"random_tau"
"448",5,48,10000,FALSE,FALSE,"random_tau"
"449",5,49,10000,FALSE,FALSE,"random_tau"
"450",5,50,10000,FALSE,FALSE,"random_tau"
"451",5,51,10000,FALSE,FALSE,"random_tau"
"452",5,52,10000,FALSE,FALSE,"random_tau"
"453",5,53,10000,FALSE,FALSE,"random_tau"
"454",5,54,10000,FALSE,FALSE,"random_tau"
"455",5,55,10000,FALSE,FALSE,"random_tau"
"456",5,56,10000,FALSE,FALSE,"random_tau"
"457",5,57,10000,FALSE,FALSE,"random_tau"
"458",5,58,10000,FALSE,FALSE,"random_tau"
"459",5,59,10000,FALSE,FALSE,"random_tau"
"460",5,60,10000,FALSE,FALSE,"random_tau"
"461",5,61,10000,FALSE,FALSE,"random_tau"
"462",5,62,10000,FALSE,FALSE,"random_tau"
"463",5,63,10000,FALSE,FALSE,"random_tau"
"464",5,64,10000,FALSE,FALSE,"random_tau"
"465",5,65,10000,FALSE,FALSE,"random_tau"
"466",5,66,10000,FALSE,FALSE,"random_tau"
"467",5,67,10000,FALSE,FALSE,"random_tau"
"468",5,68,10000,FALSE,FALSE,"random_tau"
"469",5,69,10000,FALSE,FALSE,"random_tau"
"470",5,70,10000,FALSE,FALSE,"random_tau"
"471",5,71,10000,FALSE,FALSE,"random_tau"
"472",5,72,10000,FALSE,FALSE,"random_tau"
"473",5,73,10000,FALSE,FALSE,"random_tau"
"474",5,74,10000,FALSE,FALSE,"random_tau"
"475",5,75,10000,FALSE,FALSE,"random_tau"
"476",5,76,10000,FALSE,FALSE,"random_tau"
"477",5,77,10000,FALSE,FALSE,"random_tau"
"478",5,78,10000,FALSE,FALSE,"random_tau"
"479",5,79,10000,FALSE,FALSE,"random_tau"
"480",5,80,10000,FALSE,FALSE,"random_tau"
"481",5,81,10000,FALSE,FALSE,"random_tau"
"482",5,82,10000,FALSE,FALSE,"random_tau"
"483",5,83,10000,FALSE,FALSE,"random_tau"
"484",5,84,10000,FALSE,FALSE,"random_tau"
"485",5,85,10000,FALSE,FALSE,"random_tau"
"486",5,86,10000,FALSE,FALSE,"random_tau"
"487",5,87,10000,FALSE,FALSE,"random_tau"
"488",5,88,10000,FALSE,FALSE,"random_tau"
"489",5,89,10000,FALSE,FALSE,"random_tau"
"490",5,90,10000,FALSE,FALSE,"random_tau"
"491",5,91,10000,FALSE,FALSE,"random_tau"
"492",5,92,10000,FALSE,FALSE,"random_tau"
"493",5,93,10000,FALSE,FALSE,"random_tau"
"494",5,94,10000,FALSE,FALSE,"random_tau"
"495",5,95,10000,FALSE,FALSE,"random_tau"
"496",5,96,10000,FALSE,FALSE,"random_tau"
"497",5,97,10000,FALSE,FALSE,"random_tau"
"498",5,98,10000,FALSE,FALSE,"random_tau"
"499",5,99,10000,FALSE,FALSE,"random_tau"
"500",5,100,10000,FALSE,FALSE,"random_tau"
